Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-11-29,3,50000,988,2 out of 8,Super Area,Lajpat Nagar,Delhi,Furnished,Bachelors,2,Contact Owner
2023-09-14,3,39000,1466,4 out of 8,Super Area,Jubilee Hills,Hyderabad,Furnished,Bachelors,2,Contact Owner
2022-02-16,2,16000,855,3 out of 6,Super Area,Nungambakkam,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-01-08,2,40500,957,1 out of 2,Carpet Area,Vasant Kunj,Delhi,Furnished,Bachelors/Family,3,Contact Builder
2022-02-13,3,40000,1924,Ground out of 6,Carpet Area,Perambur,Chennai,Furnished,Bachelors,2,Contact Owner
2022-01-22,1,12500,716,1 out of 5,Carpet Area,Mylapore,Chennai,Unfurnished,Bachelors,1,Contact Agent
2023-02-15,2,56000,1776,1 out of 6,Super Area,HSR Layout,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner
2022-07-18,1,11500,598,Ground out of 5,Super Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-03-19,2,41500,1520,4 out of 10,Super Area,Indiranagar,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner
2022-11-20,5,85500,1574,6 out of 12,Super Area,Hauz Khas,Delhi,Semi-Furnished,Bachelors,6,Contact Agent
2023-04-08,2,32500,830,Ground out of 4,Super Area,Janakpuri,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-07-22,1,21000,200,2 out of 7,Carpet Area,Navi Mumbai,Mumbai,Furnished,Family,1,Contact Builder
2023-04-07,4,16500,1354,1 out of 2,Carpet Area,Howrah,Kolkata,Unfurnished,Bachelors,4,Contact Owner
2023-06-20,3,90500,1518,10 out of 15,Super Area,Thane,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-12-09,2,20000,1053,5 out of 11,Carpet Area,Gachibowli,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Agent
2022-03-25,2,78000,1350,6 out of 9,Carpet Area,Dadar,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2023-07-27,3,40500,1670,7 out of 10,Super Area,Kondapur,Hyderabad,Furnished,Bachelors,3,Contact Agent
2023-06-05,3,22500,1045,3 out of 7,Carpet Area,Adyar,Chennai,Unfurnished,Bachelors,3,Contact Builder
2022-03-21,1,36000,1079,10 out of 12,Super Area,Whitefield,Bangalore,Furnished,Bachelors/Family,1,Contact Builder
2022-05-15,3,50000,1280,6 out of 11,Super Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
2023-01-09,2,28500,1225,2 out of 6,Built Area,Kondapur,Hyderabad,Furnished,Bachelors,1,Contact Agent
2022-07-18,3,18500,1785,1 out of 5,Super Area,Salt Lake,Kolkata,Semi-Furnished,Bachelors,3,Contact Agent
2023-09-12,3,52500,1899,8 out of 10,Super Area,BTM Layout,Bangalore,Unfurnished,Bachelors/Family,4,Contact Owner
2022-03-27,4,66000,1287,5 out of 8,Super Area,Janakpuri,Delhi,Semi-Furnished,Family,3,Contact Agent
2023-03-01,2,48500,1168,6 out of 7,Super Area,Pitampura,Delhi,Furnished,Bachelors/Family,3,Contact Builder
2022-12-10,2,74500,937,5 out of 11,Super Area,Andheri East,Mumbai,Furnished,Family,2,Contact Owner
2022-03-23,1,27500,804,2 out of 3,Carpet Area,Pitampura,Delhi,Unfurnished,Bachelors/Family,1,Contact Builder
2022-02-18,2,71000,1079,1 out of 2,Super Area,Juhu,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2022-09-05,2,47500,1341,3 out of 8,Carpet Area,Dwarka,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Builder
2022-03-11,1,13500,1313,Ground out of 3,Super Area,Dum Dum,Kolkata,Furnished,Bachelors/Family,1,Contact Agent
2023-01-01,2,19500,933,1 out of 2,Carpet Area,Banjara Hills,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-12-13,2,78500,1176,Ground out of 5,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-02-07,2,14000,1183,4 out of 8,Carpet Area,Park Street,Kolkata,Semi-Furnished,Bachelors,3,Contact Agent
2022-07-15,2,40500,1523,1 out of 7,Super Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-12-14,2,39500,1304,4 out of 8,Super Area,BTM Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,40500,1029,Ground out of 5,Super Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2022-12-26,2,31500,1445,1 out of 5,Carpet Area,Jubilee Hills,Hyderabad,Furnished,Bachelors,1,Contact Owner
2023-02-20,1,20500,1537,Ground out of 6,Carpet Area,T Nagar,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-08-30,2,41500,1344,Ground out of 1,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Family,3,Contact Owner
2023-08-11,2,13500,1287,2 out of 3,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2023-07-30,2,49000,1117,2 out of 6,Super Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Builder
2022-03-17,2,70000,785,1 out of 3,Carpet Area,Thane,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-03-08,2,17000,918,4 out of 10,Carpet Area,Perambur,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-05,2,27500,1549,2 out of 4,Carpet Area,Kukatpally,Hyderabad,Unfurnished,Bachelors,2,Contact Builder
2022-03-09,3,51000,1384,Ground out of 1,Super Area,Janakpuri,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2023-10-20,2,35500,1136,Ground out of 3,Carpet Area,HSR Layout,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
2023-03-20,2,66500,1008,1 out of 3,Carpet Area,Dadar,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Builder
2022-10-18,4,35500,1732,1 out of 6,Super Area,Kondapur,Hyderabad,Unfurnished,Bachelors,3,Contact Owner
2023-08-30,2,54500,783,3 out of 5,Carpet Area,Andheri East,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-03-25,2,25000,1318,5 out of 6,Built Area,Gachibowli,Hyderabad,Semi-Furnished,Family,3,Contact Owner
2023-07-13,4,111000,1024,2 out of 8,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,5,Contact Agent
2023-03-27,3,51500,1333,4 out of 6,Super Area,HSR Layout,Bangalore,Semi-Furnished,Family,3,Contact Agent
2024-02-18,2,25000,1089,8 out of 10,Super Area,Perambur,Chennai,Furnished,Bachelors/Family,1,Contact Builder
2023-09-23,2,28000,705,Ground out of 4,Super Area,HSR Layout,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
2023-04-24,2,17500,1010,2 out of 7,Super Area,Velachery,Chennai,Unfurnished,Family,1,Contact Agent
2022-02-21,4,47500,1579,3 out of 4,Built Area,Anna Nagar,Chennai,Furnished,Family,4,Contact Agent
2023-01-10,2,45500,1397,6 out of 12,Super Area,Indiranagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-10-14,2,23500,1233,3 out of 8,Super Area,Mylapore,Chennai,Furnished,Bachelors,2,Contact Owner
2022-07-23,3,34000,1304,7 out of 9,Built Area,Madhapur,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2023-06-12,2,26000,1290,2 out of 7,Carpet Area,Madhapur,Hyderabad,Furnished,Bachelors/Family,3,Contact Agent
2023-06-30,2,56000,1235,3 out of 8,Carpet Area,Hauz Khas,Delhi,Furnished,Bachelors/Family,3,Contact Agent
2023-12-06,3,28500,1325,3 out of 9,Super Area,Mylapore,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-05-07,1,13000,1277,4 out of 9,Carpet Area,Salt Lake,Kolkata,Furnished,Bachelors,1,Contact Builder
2022-04-23,2,42000,1152,3 out of 9,Carpet Area,Dwarka,Delhi,Semi-Furnished,Family,3,Contact Owner
2024-01-15,1,30000,997,6 out of 12,Super Area,Pitampura,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-06-30,3,108500,1116,7 out of 11,Super Area,Malad,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-10-13,2,48000,1575,1 out of 3,Carpet Area,Marathahalli,Bangalore,Unfurnished,Bachelors,3,Contact Agent
2022-10-08,2,26500,1857,2 out of 8,Super Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors,2,Contact Agent
2024-01-02,1,35000,1281,1 out of 4,Super Area,Indiranagar,Bangalore,Semi-Furnished,Family,2,Contact Owner
2022-10-06,2,88500,1537,7 out of 13,Carpet Area,Juhu,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
2022-12-05,1,23500,734,Ground out of 4,Super Area,Saket,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2023-05-04,2,7500,552,4 out of 8,Built Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2024-01-11,2,13000,962,1 out of 7,Super Area,Howrah,Kolkata,Furnished,Bachelors,2,Contact Builder
2024-02-06,4,136500,1315,5 out of 7,Super Area,Borivali,Mumbai,Semi-Furnished,Family,3,Contact Builder
2023-06-21,4,77500,1665,9 out of 14,Super Area,Marathahalli,Bangalore,Furnished,Bachelors,3,Contact Builder
2022-09-21,4,28500,1192,4 out of 10,Super Area,Velachery,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner
2023-03-14,2,14000,793,5 out of 9,Super Area,Howrah,Kolkata,Furnished,Bachelors/Family,3,Contact Agent
2022-08-30,2,25500,1555,Ground out of 4,Super Area,HITEC City,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-04-22,3,24500,811,Ground out of 1,Carpet Area,Anna Nagar,Chennai,Furnished,Bachelors,3,Contact Owner
2023-01-12,2,43500,1105,3 out of 6,Super Area,HSR Layout,Bangalore,Semi-Furnished,Family,3,Contact Agent
2024-02-15,2,16000,695,3 out of 7,Super Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Builder
2023-01-06,3,26500,1311,2 out of 8,Carpet Area,Madhapur,Hyderabad,Unfurnished,Bachelors,2,Contact Agent
2023-03-29,4,119500,1117,1 out of 6,Carpet Area,Powai,Mumbai,Furnished,Bachelors,3,Contact Agent
2023-04-13,3,70500,843,Ground out of 4,Carpet Area,Thane,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-03-16,1,19000,1107,4 out of 9,Super Area,Gachibowli,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,77000,1167,Ground out of 4,Super Area,Thane,Mumbai,Furnished,Family,3,Contact Builder
2023-11-09,3,42000,780,2 out of 8,Super Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Builder
2022-11-02,1,21500,1173,5 out of 6,Super Area,HITEC City,Hyderabad,Furnished,Family,1,Contact Owner
2024-02-23,3,34000,1856,1 out of 7,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-02-04,1,61000,1164,Ground out of 5,Super Area,Worli,Mumbai,Semi-Furnished,Bachelors,2,Contact Builder
2022-05-24,3,40000,2019,4 out of 5,Super Area,Anna Nagar,Chennai,Unfurnished,Bachelors/Family,4,Contact Owner
2022-11-06,5,42000,1472,5 out of 7,Carpet Area,Kondapur,Hyderabad,Unfurnished,Bachelors,4,Contact Owner
2023-07-24,5,103000,1630,3 out of 7,Built Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,6,Contact Owner
2023-01-21,1,13500,811,2 out of 5,Super Area,Mylapore,Chennai,Unfurnished,Bachelors,1,Contact Agent
2023-02-27,3,59000,1506,6 out of 11,Super Area,Pitampura,Delhi,Furnished,Bachelors/Family,3,Contact Builder
2023-07-03,3,20000,981,5 out of 6,Super Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2024-01-12,3,20000,1229,5 out of 10,Carpet Area,Salt Lake,Kolkata,Furnished,Bachelors,2,Contact Agent
2022-05-01,3,24000,1760,7 out of 13,Built Area,Salt Lake,Kolkata,Furnished,Family,3,Contact Owner
2023-01-25,5,24500,2038,3 out of 6,Super Area,Salt Lake,Kolkata,Unfurnished,Bachelors,5,Contact Agent
2022-07-28,2,18000,694,4 out of 7,Super Area,Nungambakkam,Chennai,Furnished,Bachelors/Family,2,Contact Builder
